gene,anchor_index,function
TRAJ32*01,32,F
TRAJ15*01,26,F
TRAJ44*01,27,F
TRAJ4*02,29,F
TRAJ26*01,26,F
TRAJ50*01,29,F
TRAJ43*01,23,F
TRAJ5*01,28,F
TRAJ27*01,25,F
TRAJ21*01,23,F
TRAJ38*01,28,F
TRAJ49*01,25,F
TRAJ16*01,27,F
TRAJ39*01,29,F
TRAJ45*02,26,F
TRAJ3*01,28,F
TRAJ22*01,26,F
TRAJ40*01,27,F
TRAJ33*01,23,F
TRAJ9*02,24,F
TRAJ34*02,24,F
TRAJ11*01,25,F
TRAJ17*01,29,F
TRAJ28*01,31,F
TRAJ56*01,29,F
TRAJ41*01,22,F
TRAJ7*01,25,F
TRAJ29*01,26,F
TRAJ23*01,26,F
TRAJ58*01,29,F
TRAJ12*01,25,F
TRAJ18*01,32,F
TRAJ24*01,22,F
TRAJ30*01,25,F
TRAJ57*01,29,F
TRAJ46*01,27,F
TRAJ2*01,32,F
TRAJ52*01,32,F
TRAJ35*01,28,F
TRAJ48*01,27,F
TRAJ13*01,23,F
TRAJ19*01,27,F
TRAJ20*01,23,F
TRAJ47*01,21,F
TRAJ37*01,26,F
TRAJ53*01,32,F
TRAJ42*01,30,F
TRAJ6*01,28,F
TRAJ25*01,23,F
TRAJ59*01,27,F
TRAJ31*01,23,F
